is_static,full_name,is_code_smell
False,ch.blinkenlights.android.vanilla.BastpUtil$RGLruCache,true
False,ch.blinkenlights.android.vanilla.FileSystemAdapter$Observer,true
False,ch.blinkenlights.android.vanilla.PlaybackService$Receiver,true
False,ch.blinkenlights.android.vanilla.PlaybackActivity$3,true
False,ch.blinkenlights.android.vanilla.PlaybackActivity$2,true
False,ch.blinkenlights.android.vanilla.PlaybackActivity$1,true
False,ch.blinkenlights.android.vanilla.PlaybackService$1,true
False,ch.blinkenlights.android.vanilla.ShowQueueActivity$2,true
False,ch.blinkenlights.android.vanilla.ShowQueueActivity$3,true
False,ch.blinkenlights.android.vanilla.ShowQueueActivity$1,true
False,ch.blinkenlights.android.vanilla.FullPlaybackActivity$2,true
False,ch.blinkenlights.android.vanilla.FullPlaybackActivity$1,true
False,ch.blinkenlights.android.vanilla.ReadaheadThread$1,true
False,ch.blinkenlights.android.vanilla.FileSystemAdapter$2,true
False,ch.blinkenlights.android.vanilla.FileSystemAdapter$1,true
False,ch.blinkenlights.android.vanilla.LibraryPagerAdapter$1,true
False,ch.blinkenlights.android.vanilla.LibraryPagerAdapter$FilePositionLruCache,true
False,ch.blinkenlights.android.vanilla.PreferencesActivity$ReplayGainFragment$1,true
False,ch.blinkenlights.android.vanilla.FilebrowserStartActivity$1,true
False,ch.blinkenlights.android.vanilla.LibraryActivity$2,true
False,ch.blinkenlights.android.vanilla.LibraryActivity$1,true
False,ch.blinkenlights.android.vanilla.LibraryActivity$3,true
False,com.amaze.filemanager.utils.share.ShareTask$1,true
False,com.amaze.filemanager.adapters.AppsAdapter$2,true
False,com.amaze.filemanager.adapters.AppsAdapter$1,true
False,com.amaze.filemanager.utils.SmbStreamer.StreamServer$1,true
False,com.amaze.filemanager.fragments.TabFragment$1,true
False,com.amaze.filemanager.activities.MainActivity$CheckForFiles,true
False,com.amaze.filemanager.adapters.RarAdapter$2,true
False,com.amaze.filemanager.adapters.RarAdapter$3,true
False,com.amaze.filemanager.adapters.RarAdapter$1,true
False,com.amaze.filemanager.fragments.Main$9,true
False,com.amaze.filemanager.fragments.Main$8,true
False,com.amaze.filemanager.fragments.Main$3,true
False,com.amaze.filemanager.fragments.Main$2,true
False,com.amaze.filemanager.fragments.Main$1,true
False,com.amaze.filemanager.fragments.Main$7,true
False,com.amaze.filemanager.fragments.Main$6,true
False,com.amaze.filemanager.fragments.Main$5,true
False,com.amaze.filemanager.fragments.Main$4,true
False,com.amaze.filemanager.activities.DbViewer$2,true
False,com.amaze.filemanager.adapters.Recycleradapter$3,true
False,com.amaze.filemanager.activities.DbViewer$1,true
False,com.amaze.filemanager.adapters.Recycleradapter$2,true
False,com.amaze.filemanager.adapters.Recycleradapter$5,true
False,com.amaze.filemanager.adapters.Recycleradapter$4,true
False,com.amaze.filemanager.adapters.Recycleradapter$1,true
False,com.amaze.filemanager.adapters.Recycleradapter$7,true
False,com.amaze.filemanager.adapters.Recycleradapter$6,true
False,com.amaze.filemanager.adapters.Recycleradapter$8,true
False,com.amaze.filemanager.services.CopyService$Doback,true
False,com.amaze.filemanager.utils.share.ShareAdapter$1,true
False,com.amaze.filemanager.adapters.ZipAdapter$1,true
False,com.amaze.filemanager.adapters.ZipAdapter$3,true
False,com.amaze.filemanager.adapters.ZipAdapter$2,true
False,com.amaze.filemanager.fragments.Main$10,true
False,com.amaze.filemanager.fragments.Main$11,true
False,com.amaze.filemanager.services.asynctasks.RarHelperTask$FileListSorter,true
False,com.amaze.filemanager.fragments.ZipViewer$1,true
False,com.amaze.filemanager.fragments.ZipViewer$3,true
False,com.amaze.filemanager.fragments.ZipViewer$2,true
False,com.amaze.filemanager.fragments.ZipViewer$5,true
False,com.amaze.filemanager.fragments.ZipViewer$4,true
False,com.amaze.filemanager.fragments.ZipViewer$6,true
False,com.amaze.filemanager.fragments.ProcessViewer$1,true
False,com.amaze.filemanager.fragments.ProcessViewer$3,true
False,com.amaze.filemanager.fragments.ProcessViewer$2,true
False,com.amaze.filemanager.fragments.AppsList$LoadListTask,true
False,com.amaze.filemanager.activities.MainActivity$12,true
False,com.amaze.filemanager.activities.MainActivity$13,true
False,com.amaze.filemanager.activities.MainActivity$14,true
False,com.amaze.filemanager.activities.MainActivity$15,true
False,com.amaze.filemanager.activities.MainActivity$10,true
False,com.amaze.filemanager.activities.MainActivity$11,true
False,com.amaze.filemanager.activities.MainActivity$16,true
False,com.amaze.filemanager.activities.MainActivity$17,true
False,com.amaze.filemanager.activities.MainActivity$18,true
False,com.amaze.filemanager.activities.MainActivity$19,true
False,com.amaze.filemanager.utils.Futils$8,true
False,com.amaze.filemanager.utils.Futils$9,true
False,com.amaze.filemanager.utils.Futils$4,true
False,com.amaze.filemanager.utils.Futils$5,true
False,com.amaze.filemanager.utils.Futils$6,true
False,com.amaze.filemanager.utils.Futils$7,true
False,com.amaze.filemanager.utils.Futils$1,true
False,com.amaze.filemanager.utils.Futils$2,true
False,com.amaze.filemanager.utils.Futils$3,true
False,com.amaze.filemanager.activities.MainActivity$23,true
False,com.amaze.filemanager.activities.MainActivity$24,true
False,com.amaze.filemanager.activities.MainActivity$25,true
False,com.amaze.filemanager.activities.MainActivity$26,true
False,com.amaze.filemanager.activities.MainActivity$20,true
False,com.amaze.filemanager.activities.MainActivity$21,true
False,com.amaze.filemanager.activities.MainActivity$22,true
False,com.amaze.filemanager.activities.MainActivity$27,true
False,com.amaze.filemanager.activities.MainActivity$28,true
False,com.amaze.filemanager.activities.MainActivity$29,true
False,com.amaze.filemanager.activities.MainActivity$34,true
False,com.amaze.filemanager.activities.MainActivity$35,true
False,com.amaze.filemanager.activities.MainActivity$36,true
False,com.amaze.filemanager.activities.MainActivity$37,true
False,com.amaze.filemanager.activities.MainActivity$30,true
False,com.amaze.filemanager.activities.MainActivity$31,true
False,com.amaze.filemanager.activities.MainActivity$32,true
False,com.amaze.filemanager.activities.MainActivity$33,true
False,com.amaze.filemanager.activities.MainActivity$38,true
False,com.amaze.filemanager.services.ExtractService$Doback,true
False,com.amaze.filemanager.activities.TextReader$4,true
False,com.amaze.filemanager.activities.TextReader$3,true
False,com.amaze.filemanager.activities.TextReader$2,true
False,com.amaze.filemanager.activities.TextReader$1,true
False,com.amaze.filemanager.fragments.preference_fragments.ColorPref$ColorAdapter,true
False,com.amaze.filemanager.utils.SmbStreamer.StreamServer$Response,true
False,com.amaze.filemanager.services.CopyService$1,true
False,com.amaze.filemanager.utils.SmbStreamer.StreamServer$HTTPSession,true
False,com.amaze.filemanager.ui.icons.IconHolder$WorkerHandler,true
False,com.amaze.filemanager.fragments.AppsList$1,true
False,com.amaze.filemanager.fragments.AppsList$2,true
False,com.amaze.filemanager.services.ZipTask$zip,true
False,com.amaze.filemanager.services.CopyService$copy,true
False,com.amaze.filemanager.adapters.AppsAdapter$ViewHolder,true
False,com.amaze.filemanager.adapters.DrawerAdapter$2,true
False,com.amaze.filemanager.adapters.DrawerAdapter$1,true
False,com.amaze.filemanager.fragments.preference_fragments.ColorPref$1,true
False,com.amaze.filemanager.utils.Futils$16,true
False,com.amaze.filemanager.utils.Futils$15,true
False,com.amaze.filemanager.utils.Futils$14,true
False,com.amaze.filemanager.utils.Futils$13,true
False,com.amaze.filemanager.utils.Futils$12,true
False,com.amaze.filemanager.utils.Futils$11,true
False,com.amaze.filemanager.utils.Futils$10,true
False,com.amaze.filemanager.fragments.preference_fragments.ColorPref$2,true
False,com.amaze.filemanager.adapters.HiddenAdapter$ViewHolder,true
False,com.amaze.filemanager.services.ZipTask$Doback,true
False,com.amaze.filemanager.services.asynctasks.ZipHelperTask$FileListSorter,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$11,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$10,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$13,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$12,true
False,com.amaze.filemanager.adapters.TabSpinnerAdapter$1,true
False,com.amaze.filemanager.activities.MainActivity$1,true
False,com.amaze.filemanager.activities.MainActivity$2,true
False,com.amaze.filemanager.services.ExtractService$1,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$5,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$6,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$3,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$4,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$9,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$7,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$8,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$1,true
False,com.amaze.filemanager.fragments.preference_fragments.Preffrag$2,true
False,com.amaze.filemanager.services.asynctasks.GenerateMD5Task$2,true
False,com.amaze.filemanager.services.asynctasks.GenerateMD5Task$1,true
False,com.amaze.filemanager.activities.MainActivity$5,true
False,com.amaze.filemanager.activities.MainActivity$6,true
False,com.amaze.filemanager.activities.MainActivity$3,true
False,com.amaze.filemanager.activities.MainActivity$4,true
False,com.amaze.filemanager.activities.MainActivity$9,true
False,com.amaze.filemanager.activities.MainActivity$7,true
False,com.amaze.filemanager.activities.MainActivity$8,true
False,com.amaze.filemanager.services.ZipTask$1,true
False,com.amaze.filemanager.ui.icons.IconHolder$1,true
False,com.amaze.filemanager.ui.icons.IconHolder$2,true
False,com.amaze.filemanager.fragments.TabFragment$ScreenSlidePagerAdapter,true
False,com.amaze.filemanager.adapters.HiddenAdapter$1,true
False,com.amaze.filemanager.adapters.HiddenAdapter$2,true
False,com.androidemu.nes.EmulatorActivity$4,true
False,com.androidemu.nes.EmulatorActivity$3,true
False,com.androidemu.nes.EmulatorActivity$6,true
False,com.androidemu.nes.EmulatorActivity$5,true
False,com.androidemu.nes.CheatsActivity$1,true
False,com.androidemu.nes.NetPlayService$TCPServerThread,true
False,com.androidemu.nes.NetPlayService$NetThread,true
False,com.androidemu.nes.EmulatorActivity$2,true
False,com.androidemu.nes.EmulatorActivity$1,true
False,com.androidemu.nes.DeviceListActivity$1,true
False,com.androidemu.nes.DeviceListActivity$3,true
False,com.androidemu.nes.DeviceListActivity$2,true
False,com.androidemu.Emulator$1,true
False,com.androidemu.nes.EmulatorActivity$NetWaitDialog,true
False,com.androidemu.Cheats$Item,true
False,com.androidemu.nes.NetPlayService$BluetoothClientThread,true
False,com.androidemu.nes.KeyProfilesActivity$2,true
False,com.androidemu.nes.KeyProfilesActivity$1,true
False,com.androidemu.nes.StateSlotsActivity$SaveSlotAdapter,true
False,com.androidemu.nes.NetPlayService$TCPClientThread,true
False,com.androidemu.nes.NetPlayService$BluetoothServerThread,true
False,com.androidemu.nes.MainActivity$1,true
False,com.androidemu.nes.HelpActivity$1,true
False,anupam.acrylic.EasyPaint$2,true
False,anupam.acrylic.EasyPaint$1,true
False,anupam.acrylic.Splash$1,true
False,anupam.acrylic.EasyPaint$6,true
False,anupam.acrylic.EasyPaint$5,true
False,anupam.acrylic.EasyPaint$4,true
False,anupam.acrylic.EasyPaint$3,true
False,anupam.acrylic.EasyPaint$MyView,true
False,anupam.acrylic.ColorPickerDialog$1,true
False,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$1,true
False,org.bottiger.podcast.utils.PaletteHelper$1$1,true
False,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$4,true
False,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$5,true
False,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$2,true
False,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$3,true
False,org.bottiger.podcast.Player.LegacyRemoteController$1,true
False,org.bottiger.podcast.utils.FragmentUtils$1,true
False,org.bottiger.podcast.FragmentContainerActivity$2,true
False,org.bottiger.podcast.FragmentContainerActivity$1,true
False,org.bottiger.podcast.Player.SoundWavesPlayer$3,true
False,org.bottiger.podcast.Player.SoundWavesPlayer$4,true
False,org.bottiger.podcast.Player.SoundWavesPlayer$1,true
False,org.bottiger.podcast.Player.SoundWavesPlayer$2,true
False,org.bottiger.podcast.adapters.PlaylistAdapter$2,true
False,org.bottiger.podcast.adapters.PlaylistAdapter$1,true
False,org.bottiger.podcast.views.dialogs.DialogSearchDirectory$1,true
False,org.bottiger.podcast.ToolbarActivity$1,true
False,org.bottiger.podcast.ToolbarPreference$1,true
False,org.bottiger.podcast.adapters.SubscriptionGridCursorAdapter$1,true
False,org.bottiger.podcast.adapters.SubscriptionGridCursorAdapter$2,true
False,org.bottiger.podcast.views.FeedViewQueueButton$1,true
False,org.bottiger.podcast.provider.Subscription$1,true
False,org.bottiger.podcast.service.Downloader.SubscriptionRefreshManager$1,true
False,org.bottiger.podcast.service.Downloader.SubscriptionRefreshManager$2,true
False,org.bottiger.podcast.playlist.GenericSubscriptionLoader$1,true
False,org.bottiger.podcast.views.PlayerSeekbar$1,true
False,org.bottiger.podcast.Player.PlayerStateManager$1,true
False,org.bottiger.podcast.service.Downloader.engines.OkHttpDownloader$1,true
False,org.bottiger.podcast.SubscriptionsFragment$3,true
False,org.bottiger.podcast.SubscriptionsFragment$2,true
False,org.bottiger.podcast.SubscriptionsFragment$1,true
False,org.bottiger.podcast.SubscriptionsFragment$4,true
False,org.bottiger.podcast.FeedActivity$4,true
False,org.bottiger.podcast.FeedActivity$3,true
False,org.bottiger.podcast.FeedActivity$2,true
